review_id,text
1,"Sản phẩm cực kỳ chất lượng, đáng đồng tiền bát gạo!"
2,"Giao hàng nhanh, đóng gói cẩn thận."
3,
4,"Hàng lởm, dùng 2 ngày đã hỏng."
5,    
6,"Cũng bình thường, không xuất sắc lắm."
7,"Shop phục vụ nhiệt tình, 5 sao!"
8,Màu sắc bị lệch so với trên ảnh.
9,
10,10 điểm không có nhưng!
11,Hơi đắt so với mặt bằng chung nhưng xài ngon.
12,"Đã nhận được hàng, chưa test thử."
13,Chất liệu vải hơi mỏng.
14,Sẽ ủng hộ shop dài dài.
15,Tệ! Yêu cầu hoàn tiền ngay.
16,Ok
17,Tuyệt vời!
18,
19,Hàng fake mọi người cẩn thận.
20,Đúng mô tả.
